Premise,Implied,Support
System/Protocol Overview; Tools & Automation; Severity Model / Risk Classification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification,20
System/Protocol Overview; Tools & Automation; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification,19
Scope; Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Tools & Automation,15
Executive Summary; Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,15
Methodology / Procedure; Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,15
Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,15
Methodology / Procedure; Tools & Automation; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality,14
Threat / Trust Model; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Tools & Automation; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,14
Executive Summary; Threat / Trust Model,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Executive Summary; Privileged Roles & Centralisation Risks,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,14
Scope; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Scope; Privileged Roles & Centralisation Risks,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,14
Methodology / Procedure; Threat / Trust Model; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Methodology / Procedure; Privileged Roles & Centralisation Risks,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope,14
Methodology / Procedure; Findings Summary (Table); Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope; Tools & Automation,14
Detailed Findings; Status of Findings / Verification; Threat / Trust Model,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,14
Methodology / Procedure; Detailed Findings; Threat / Trust Model,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Findings Summary (Table); Detailed Findings; Risk Taxonomy / Terminology & References,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,14
Detailed Findings; Threat / Trust Model; Documentation Quality,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Threat / Trust Model; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Threat / Trust Model; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,14
Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14
Scope; Findings Summary (Table); Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Tools & Automation,14
Executive Summary; Findings Summary (Table); Risk Taxonomy / Terminology & References,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,14
Privileged Roles & Centralisation Risks,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,14
Findings Summary (Table); Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,14
System/Protocol Overview; Detailed Findings; Threat / Trust Model,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,13
Recommendations / Remediation Guidance; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,13
System/Protocol Overview; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,13
Severity Model / Risk Classification; Findings Summary (Table); Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,12
System/Protocol Overview; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,11
Findings Summary (Table); Status of Findings / Verification; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Tools & Automation,11
System/Protocol Overview; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,8
Findings Summary (Table); Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,8
Findings Summary (Table); Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,8
System/Protocol Overview; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,8
System/Protocol Overview; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,8
Findings Summary (Table); Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,8
Findings Summary (Table); Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,6
Methodology / Procedure; Recommendations / Remediation Guidance; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Executive Summary; Scope; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Executive Summary; Timeline / Engagement Details; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Tools & Automation; Privileged Roles & Centralisation Risks; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,5
Methodology / Procedure; Status of Findings / Verification; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5
Methodology / Procedure; Status of Findings / Verification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5
Executive Summary; Timeline / Engagement Details; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5
Recommendations / Remediation Guidance; Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,5
Scope; Methodology / Procedure; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Timeline / Engagement Details; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Recommendations / Remediation Guidance; Privileged Roles & Centralisation Risks; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Timeline / Engagement Details; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Methodology / Procedure; Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5
Methodology / Procedure; Privileged Roles & Centralisation Risks; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Timeline / Engagement Details; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5
Scope; Tools & Automation; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality,5
Executive Summary; Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5
Methodology / Procedure; Detailed Findings; Timeline / Engagement Details,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Executive Summary; Tools & Automation; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,5
Detailed Findings; Privileged Roles & Centralisation Risks; Documentation Quality,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Executive Summary; Methodology / Procedure; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Methodology / Procedure; Tools & Automation; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,5
Detailed Findings; Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5
Methodology / Procedure; Tools & Automation; Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,5
Timeline / Engagement Details,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Executive Summary; Status of Findings / Verification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5
Recommendations / Remediation Guidance; Status of Findings / Verification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,5
Detailed Findings; Status of Findings / Verification; Privileged Roles & Centralisation Risks,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5
Privileged Roles & Centralisation Risks; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,5
Tools & Automation; Recommendations / Remediation Guidance; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,5
Status of Findings / Verification; Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,5
Status of Findings / Verification; Privileged Roles & Centralisation Risks; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5
Tools & Automation; Detailed Findings; Privileged Roles & Centralisation Risks,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,5
Tools & Automation; Status of Findings / Verification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality,5
Tools & Automation; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality,5
Privileged Roles & Centralisation Risks; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5
Privileged Roles & Centralisation Risks; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,5
Status of Findings / Verification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Testing / Coverage Quality; Tools & Automation,5
Methodology / Procedure; Tools & Automation; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality,4
Testing / Coverage Quality; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4
Status of Findings / Verification; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Tools & Automation,4
Methodology / Procedure; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Tools & Automation,4
Methodology / Procedure; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Tools & Automation; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification,4
Tools & Automation; Status of Findings / Verification; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality,4
Tools & Automation; Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4
Methodology / Procedure; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Testing / Coverage Quality; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4
Status of Findings / Verification; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4
Methodology / Procedure; Status of Findings / Verification; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Testing / Coverage Quality; Tools & Automation,4
Detailed Findings; Status of Findings / Verification; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4
Tools & Automation; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4
Tools & Automation; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4
Status of Findings / Verification; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4
Detailed Findings; Testing / Coverage Quality; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4
Detailed Findings; Documentation Quality; Upgradeability / Governance Controls,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Detailed Findings; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Methodology / Procedure; Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Documentation Quality; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Scope; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Tools & Automation,4
Status of Findings / Verification; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,4
Executive Summary; Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Executive Summary; Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Upgradeability / Governance Controls; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Executive Summary; Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4
Documentation Quality; Upgradeability / Governance Controls,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Testing / Coverage Quality; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,4
Executive Summary; Methodology / Procedure; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Scope; Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Executive Summary; Tools & Automation; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,4
Executive Summary; Scope; Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Detailed Findings; Upgradeability / Governance Controls,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Upgradeability / Governance Controls,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,4
Recommendations / Remediation Guidance; Threat / Trust Model; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,3
Severity Model / Risk Classification; Threat / Trust Model; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,3
Status of Findings / Verification; Threat / Trust Model; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,3
Findings Summary (Table); Privileged Roles & Centralisation Risks; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
Threat / Trust Model; Risk Taxonomy / Terminology & References,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Severity Model / Risk Classification; Status of Findings / Verification; System/Protocol Overview; Testing / Coverage Quality; Tools & Automation,3
Severity Model / Risk Classification; Recommendations / Remediation Guidance; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
Executive Summary; Severity Model / Risk Classification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
Severity Model / Risk Classification; Detailed Findings; Privileged Roles & Centralisation Risks,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
Severity Model / Risk Classification; Privileged Roles & Centralisation Risks; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
Scope; Severity Model / Risk Classification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
Methodology / Procedure; Severity Model / Risk Classification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
Severity Model / Risk Classification; Privileged Roles & Centralisation Risks,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,3
