Premise,Implied,Support,Pset,Cset
Scope; System/Protocol Overview; Severity Model / Risk Classification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,23,"frozenset({'Severity Model / Risk Classification', 'Scope', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Executive Summary'})"
System/Protocol Overview; Severity Model / Risk Classification; Detailed Findings,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,23,"frozenset({'Detailed Findings', 'Severity Model / Risk Classification', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
System/Protocol Overview; Severity Model / Risk Classification; Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,23,"frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Executive Summary; System/Protocol Overview; Severity Model / Risk Classification,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,23,"frozenset({'System/Protocol Overview', 'Severity Model / Risk Classification', 'Executive Summary'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure'})"
System/Protocol Overview; Methodology / Procedure; Severity Model / Risk Classification,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope,23,"frozenset({'Severity Model / Risk Classification', 'Methodology / Procedure', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope', 'Executive Summary'})"
System/Protocol Overview; Severity Model / Risk Classification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,23,"frozenset({'Severity Model / Risk Classification', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope'})"
Severity Model / Risk Classification; Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,23,"frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Status of Findings / Verification; Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Tools & Automation,23,"frozenset({'Risk Taxonomy / Terminology & References', 'Recommendations / Remediation Guidance', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope'})"
System/Protocol Overview; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,22,"frozenset({'Findings Summary (Table)', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope'})"
Executive Summary; System/Protocol Overview; Findings Summary (Table),Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,22,"frozenset({'System/Protocol Overview', 'Findings Summary (Table)', 'Executive Summary'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure'})"
System/Protocol Overview; Findings Summary (Table); Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure; Scope,22,"frozenset({'Recommendations / Remediation Guidance', 'Findings Summary (Table)', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Scope; System/Protocol Overview; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,22,"frozenset({'Findings Summary (Table)', 'Scope', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Executive Summary'})"
System/Protocol Overview; Methodology / Procedure; Findings Summary (Table),Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope,22,"frozenset({'Findings Summary (Table)', 'Methodology / Procedure', 'System/Protocol Overview'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope', 'Executive Summary'})"
System/Protocol Overview; Findings Summary (Table); Detailed Findings,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,22,"frozenset({'Detailed Findings', 'Findings Summary (Table)', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure', 'Executive Summary'})"
Methodology / Procedure; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Status of Findings / Verification; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality'})"
Risk Taxonomy / Terminology & References; Testing / Coverage Quality; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Documentation Quality', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Severity Model / Risk Classification', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Scope', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Scope', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Scope', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Status of Findings / Verification'})"
Status of Findings / Verification; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Risk Taxonomy / Terminology & References', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Severity Model / Risk Classification; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Severity Model / Risk Classification', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Severity Model / Risk Classification', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Status of Findings / Verification; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Tools & Automation,21,"frozenset({'Risk Taxonomy / Terminology & References', 'Testing / Coverage Quality', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope'})"
Tools & Automation; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification,21,"frozenset({'Tools & Automation', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Executive Summary; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Risk Taxonomy / Terminology & References', 'Limitations / Disclaimers / Non-Goals', 'Executive Summary'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Risk Taxonomy / Terminology & References; Testing / Coverage Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Executive Summary; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Risk Taxonomy / Terminology & References', 'Executive Summary'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Risk Taxonomy / Terminology & References', 'Testing / Coverage Quality', 'Executive Summary'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Tools & Automation; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality,21,"frozenset({'Tools & Automation', 'Limitations / Disclaimers / Non-Goals', 'Risk Taxonomy / Terminology & References'})","frozenset({'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Detailed Findings; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Detailed Findings', 'Limitations / Disclaimers / Non-Goals', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Tools & Automation; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality,21,"frozenset({'Documentation Quality', 'Tools & Automation', 'Risk Taxonomy / Terminology & References'})","frozenset({'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Detailed Findings; Risk Taxonomy / Terminology & References; Documentation Quality,Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Detailed Findings', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Detailed Findings; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Detailed Findings', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,21,"frozenset({'Testing / Coverage Quality', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Risk Taxonomy / Terminology & References; Documentation Quality; Limitations / Disclaimers / Non-Goals,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,21,"frozenset({'Documentation Quality', 'Limitations / Disclaimers / Non-Goals', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Severity Model / Risk Classification; Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,20,"frozenset({'Status of Findings / Verification', 'Severity Model / Risk Classification', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope'})"
System/Protocol Overview; Tools & Automation; Severity Model / Risk Classification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification,20,"frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Tools & Automation,20,"frozenset({'Recommendations / Remediation Guidance', 'Testing / Coverage Quality', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,20,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Recommendations / Remediation Guidance', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Recommendations / Remediation Guidance; Risk Taxonomy / Terminology & References; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Severity Model / Risk Classification; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,20,"frozenset({'Documentation Quality', 'Recommendations / Remediation Guidance', 'Risk Taxonomy / Terminology & References'})","frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Tools & Automation; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification,19,"frozenset({'Tools & Automation', 'Findings Summary (Table)', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
System/Protocol Overview; Findings Summary (Table); Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,19,"frozenset({'Status of Findings / Verification', 'Findings Summary (Table)', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope'})"
System/Protocol Overview; Severity Model / Risk Classification; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,17,"frozenset({'Severity Model / Risk Classification', 'Testing / Coverage Quality', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
System/Protocol Overview; Severity Model / Risk Classification; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,17,"frozenset({'Documentation Quality', 'Severity Model / Risk Classification', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Severity Model / Risk Classification; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,17,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Severity Model / Risk Classification', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Findings Summary (Table); Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,16,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Findings Summary (Table)', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
System/Protocol Overview; Findings Summary (Table); Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,16,"frozenset({'Findings Summary (Table)', 'Testing / Coverage Quality', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
System/Protocol Overview; Findings Summary (Table); Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,16,"frozenset({'Documentation Quality', 'Findings Summary (Table)', 'System/Protocol Overview'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Status of Findings / Verification; Tools & Automation,15,"frozenset({'Severity Model / Risk Classification', 'Scope', 'Findings Summary (Table)'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Status of Findings / Verification'})"
Executive Summary; Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,15,"frozenset({'Severity Model / Risk Classification', 'Findings Summary (Table)', 'Executive Summary'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,15,"frozenset({'Severity Model / Risk Classification', 'Methodology / Procedure', 'Findings Summary (Table)'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
